last_name, first_name,year,player_age,b_ab,b_total_pa,isolated_power,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,pull_percent,opposite_percent,
Pujols, Albert,2019,39,491,545,.185,.175,88.3,12.4,6.0,36.3,59.7,30.8,67.4,45.7,18.6,
Cabrera, Miguel,2019,36,493,549,.116,.167,90.3,12.2,6.4,44.6,67.8,34.0,75.3,30.0,32.8,
Choo, Shin-Soo,2019,37,563,660,.190,.206,91.3,8.7,8.8,49.0,63.9,20.1,74.9,36.1,24.3,
Encarnacion, Edwin,2019,36,418,486,.287,.270,90.0,22.5,12.6,42.0,65.7,25.2,75.5,48.1,21.4,
Jones, Adam,2019,34,485,528,.155,.170,86.0,13.5,6.7,30.2,71.3,39.2,73.6,39.3,22.5,
Desmond, Ian,2019,34,443,482,.223,.201,90.6,8.4,10.4,42.2,67.5,26.1,78.0,29.7,33.6,
Cruz, Nelson,2019,39,454,521,.328,.346,93.7,13.1,19.9,51.5,69.8,27.2,82.6,38.7,25.2,
Longoria, Evan,2019,34,453,508,.183,.221,89.7,14.0,7.5,40.8,64.6,30.2,77.2,37.3,22.3,
Fowler, Dexter,2019,33,487,574,.170,.167,85.2,13.0,7.4,28.4,66.5,23.0,78.6,36.9,23.7,
Cabrera, Asdrubal,2019,34,447,514,.181,.170,88.8,14.1,5.7,35.3,65.9,25.1,70.6,46.2,21.7,
Blackmon, Charlie,2019,33,580,634,.262,.224,88.5,14.5,8.3,40.1,70.4,30.1,75.8,39.3,25.4,
Frazier, Todd,2019,33,447,499,.192,.171,88.2,17.3,7.3,38.4,61.9,25.9,72.8,47.8,16.7,
Cain, Lorenzo,2019,33,562,623,.112,.120,89.4,6.6,4.1,42.1,65.4,25.1,71.1,27.4,32.4,
Turner, Justin,2019,35,479,549,.219,.228,90.2,17.6,7.8,43.0,66.3,24.6,80.9,34.6,26.0,
Votto, Joey,2019,36,525,608,.150,.184,88.8,15.0,6.9,37.7,65.6,18.4,79.5,35.3,25.2,
Gardner, Brett,2019,36,491,550,.253,.128,87.2,13.6,4.1,31.4,54.9,22.4,64.7,44.3,19.4,
Braun, Ryan,2019,36,459,508,.220,.203,91.2,7.1,9.8,45.0,71.9,34.6,85.4,36.4,23.8,
Gordon, Alex,2019,35,556,633,.129,.166,88.2,9.0,5.4,37.8,70.4,26.6,81.2,36.9,25.3,
Andrus, Elvis,2019,31,600,648,.118,.125,88.2,7.1,3.5,34.4,60.9,32.6,64.4,30.0,26.5,
Ramos, Wilson,2019,32,473,524,.129,.135,90.0,0.0,4.7,42.2,74.4,34.1,81.3,32.4,23.8,
Santana, Carlos,2019,33,573,686,.234,.213,91.8,11.8,9.6,44.9,63.4,17.8,76.4,42.0,18.8,
Belt, Brandon,2019,31,526,616,.169,.211,86.4,21.9,8.7,35.8,74.5,22.4,88.1,40.4,25.3,
Smoak, Justin,2019,33,414,500,.198,.244,90.3,16.8,11.0,39.5,63.1,19.7,75.2,45.0,17.8,
Brantley, Michael,2019,32,575,637,.191,.184,88.7,10.6,5.8,37.4,60.8,25.9,69.2,39.0,26.1,
Gurriel, Yuli,2019,35,564,612,.243,.135,89.3,14.5,3.8,37.5,66.6,34.3,74.4,41.2,22.2,
Rojas, Miguel,2019,30,483,526,.095,.095,87.1,8.8,2.6,28.3,63.9,29.8,66.5,28.8,29.7,
Escobar, Eduardo,2019,30,636,699,.242,.209,87.8,18.3,7.0,31.5,71.2,37.8,75.1,41.1,20.3,
Davis, Khris,2019,32,481,533,.166,.206,90.1,13.2,10.1,40.2,79.6,27.4,93.8,37.1,24.3,
Pham, Tommy,2019,31,567,654,.176,.181,90.8,5.1,7.9,44.8,61.5,16.5,71.0,31.7,25.4,
Martinez, J.D.,2019,32,575,657,.252,.268,91.3,12.5,12.0,46.7,72.5,29.7,89.4,38.2,26.5,
Reddick, Josh,2019,32,501,550,.134,.118,86.0,15.6,3.4,29.2,74.1,29.5,78.9,36.2,25.4,
Murphy, Daniel,2019,34,438,478,.174,.117,86.3,14.8,2.4,28.1,68.5,30.0,72.6,36.1,27.2,
Goldschmidt, Paul,2019,32,597,682,.216,.250,90.1,15.3,11.3,42.4,66.7,28.3,69.8,37.8,24.7,
Altuve, Jose,2019,29,500,548,.252,.208,86.1,8.8,8.1,34.5,66.6,30.2,70.7,41.7,18.2,
Hernandez, Cesar,2019,29,612,667,.129,.102,85.7,9.3,2.7,28.3,63.8,27.3,70.9,34.5,29.7,
Segura, Jean,2019,29,576,618,.141,.125,88.0,7.0,3.2,32.7,60.1,35.4,63.8,29.2,26.2,
Castro, Starlin,2019,29,636,676,.165,.162,88.6,10.9,6.2,37.7,67.5,31.3,79.9,37.6,21.7,
Marte, Starling,2019,31,539,586,.208,.204,87.4,7.4,8.2,38.5,75.7,33.5,84.1,35.9,23.7,
Donaldson, Josh,2019,34,549,659,.262,.265,92.9,13.3,15.7,50.0,68.8,23.1,82.3,39.9,25.0,
Freeman, Freddie,2019,30,597,692,.255,.277,89.7,14.5,12.5,42.3,80.4,29.2,86.7,37.3,27.3,
Grandal, Yasmani,2019,31,513,632,.222,.231,90.3,13.9,11.3,41.8,58.2,21.6,72.8,35.1,23.0,
Heyward, Jason,2019,30,513,589,.177,.144,88.6,11.1,5.9,36.5,66.3,27.5,73.4,39.4,21.9,
